name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
201983_009_edited.swc,16375,pyramidal,True,1.0,1.0,1.0,1721,932,13704
201983_010_edited.swc,41412,pyramidal,True,0.9999,0.9999,1.0,2066,2542,36764
201983_012_edited.swc,9410,pyramidal,True,0.9886,0.9914,0.9942,2268,1222,5917
201983_047_edited.swc,18073,pyramidal,True,1.0,1.0,1.0,2081,1077,14909
201990_001_edited.swc,76917,pyramidal,True,1.0,1.0,1.0,0,2343,74535
201990_002_edited.swc,25938,pyramidal,True,1.0,1.0,1.0,2797,950,22057
201990_004_edited.swc,62023,pyramidal,True,0.9998,0.9999,1.0,2539,1386,58093
201990_021_edited.swc,82871,pyramidal,True,1.0,1.0,1.0,2186,1836,78834
201990_024_edited.swc,22256,pyramidal,True,0.5784,0.6838,0.9462,1661,1196,19367
201990_034_edited.swc,44572,pyramidal,True,1.0,1.0,1.0,2735,816,41015
201990_035_edited.swc,30354,pyramidal,True,1.0,1.0,1.0,1692,700,27953
201990_041_edited.swc,50121,pyramidal,True,1.0,1.0,1.0,0,2564,47553
201990_059_edited.swc,29189,pyramidal,True,1.0,1.0,1.0,0,986,28155
201990_063_edited.swc,27280,pyramidal,True,1.0,1.0,1.0,0,2165,25100
201990_066_edited.swc,5246,pyramidal,True,0.6002,0.7002,0.823,928,1863,2452
201990_069_edited.swc,27674,pyramidal,True,1.0,1.0,1.0,0,1859,25811
202217_017_edited.swc,44204,pyramidal,True,0.7618,0.8412,0.9657,0,2359,41843
202217_019_edited.swc,41296,pyramidal,True,0.7917,0.8611,0.9598,0,2822,38471
202217_020_edited.swc,33093,pyramidal,True,1.0,1.0,1.0,1535,658,30898
202217_021_edited.swc,22279,pyramidal,True,0.9997,0.9997,1.0,1262,768,20247
202217_022_edited.swc,13624,pyramidal,True,1.0,1.0,1.0,1926,595,11097
202217_023_edited.swc,16882,pyramidal,True,1.0,1.0,1.0,2162,1151,13567
202217_025_edited.swc,28854,pyramidal,True,1.0,1.0,1.0,1731,747,26373
202219_002_edited.swc,18678,pyramidal,True,1.0,1.0,1.0,1623,1521,15532
202219_003_edited.swc,16614,pyramidal,True,1.0,1.0,1.0,1595,904,14112
202219_004_edited.swc,25888,pyramidal,True,1.0,1.0,1.0,0,1726,24159
202219_007_edited.swc,25135,pyramidal,True,1.0,1.0,1.0,0,941,24180
202219_009_edited.swc,31741,pyramidal,True,1.0,1.0,1.0,0,2452,29249
